22;19;;;;;;;;;;;;;;;;;
#;#;#;#;#;#;#;#;en;#;#;#;#;#;#;#;#;#;#
#;p;#;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;#
#;p;p;p;p;#;p;#;p;#;p;#;#;p;#;p;#;p;#
#;p;#;#;p;#;#;p;p;#;#;#;#;p;#;#;#;p;#
#;p;p;#;p;p;p;#;p;#;p;p;p;p;p;p;p;p;#
#;#;p;#;#;#;p;#;#;#;p;#;#;p;#;#;p;p;#
#;p;p;#;p;p;p;#;p;#;p;#;p;p;#;#;p;p;#
#;p;#;#;p;#;#;#;p;#;p;#;p;p;#;#;p;p;#
#;p;#;p;p;#;p;p;p;#;p;#;p;p;#;#;p;p;#
#;p;#;p;p;#;p;#;p;#;p;#;p;p;#;#;p;#;#
#;p;#;p;p;#;p;#;#;#;#;#;#;p;#;#;p;#;#
#;p;#;p;#;#;p;#;p;#;p;p;p;p;#;#;p;#;#
#;p;#;p;#;p;p;#;p;#;#;#;#;p;#;#;p;#;#
#;p;#;p;#;#;p;#;p;p;p;p;p;p;p;p;p;#;#
#;p;#;p;p;#;p;#;p;#;#;#;#;p;p;#;#;#;#
#;#;#;#;p;#;p;p;p;#;p;p;p;p;p;p;p;#;#
#;p;p;p;p;p;p;#;p;#;p;#;#;#;p;#;p;#;#
#;p;#;p;#;#;p;#;p;#;p;p;#;p;#;p;p;#;#
#;#;#;p;#;p;p;#;p;p;p;#;#;p;#;p;p;#;#
#;p;p;p;#;#;#;#;#;#;#;#;#;p;#;p;#;#;#
#;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;#
#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;ex;#;#
