22;15;;;;;;;;;;;;;
#;-;#;#;#;#;#;#;#;#;#;#;#;#;#
#;-;#;-;-;-;-;-;-;-;-;-;-;-;#
#;-;-;-;-;#;-;#;-;#;-;#;#;-;#
#;-;#;#;-;#;#;-;-;#;#;#;#;-;#
#;-;-;#;-;-;-;#;-;#;-;-;-;-;#
#;#;-;#;#;#;-;#;#;#;-;#;#;-;#
#;-;-;#;-;-;-;#;-;#;-;#;-;-;#
#;-;#;#;-;#;#;#;-;#;-;#;-;-;#
#;-;#;-;-;#;-;-;-;#;-;#;-;-;#
#;-;#;-;-;#;-;#;-;#;-;#;-;-;#
#;-;#;-;-;#;-;#;#;#;#;#;#;-;#
#;-;#;-;#;#;-;#;-;#;-;-;-;-;#
#;-;#;-;#;-;-;#;-;#;#;#;#;-;#
#;-;#;-;#;#;-;#;-;-;-;-;-;-;#
#;-;#;-;-;#;-;#;-;#;#;#;#;-;#
#;#;#;#;#;#;-;-;-;#;-;-;-;-;#
#;-;-;-;-;-;-;#;-;#;-;#;#;#;#
#;-;#;-;#;#;-;#;-;#;-;-;#;-;#
#;#;#;-;#;-;-;#;-;-;-;#;#;-;#
#;-;-;-;#;#;#;#;#;#;#;#;#;-;#
#;-;-;-;-;-;-;-;-;-;-;-;-;-;#
#;#;#;#;#;#;#;#;#;#;#;#;#;-;#
